bigram,n,total_sentiment
buggy frustration,1,negative
buggy gimmicky,1,negative
buggy greedy,1,negative
buggy hideous,1,negative
buggy idiotic,1,negative
buggy ignore,1,negative
buggy imbalance,1,negative
buggy imprecise,1,negative
buggy inability,1,negative
buggy incompatible,1,negative
buggy incompetent,1,negative
buggy incorrect,1,negative
buggy insanely,1,negative
buggy ironically,1,negative
buggy issue,1,negative
buggy killed,1,negative
buggy knock,1,negative
buggy lackluster,1,negative
buggy losing,1,negative
buggy lousy,1,negative
buggy messed,1,negative
buggy miserable,1,negative
buggy monotonous,1,negative
buggy monster,1,negative
buggy monstrosity,1,negative
buggy mysterious,1,negative
buggy needless,1,negative
buggy outrageously,1,negative
buggy pain,1,negative
buggy pathetic,1,negative
buggy pointless,1,negative
buggy pretentious,1,negative
buggy regression,1,negative
buggy reviled,1,negative
buggy ridiculous,1,negative
buggy sadly,1,negative
buggy savage,1,negative
buggy senseless,1,negative
buggy shaky,1,negative
buggy shit,1,negative
buggy siege,1,negative
buggy silly,1,negative
buggy slap,1,negative
buggy sorely,1,negative
buggy strange,1,negative
buggy stutter,1,negative
buggy stuttered,1,negative
buggy suffers,1,negative
buggy tired,1,negative
buggy trap,1,negative
buggy uncomfortable,1,negative
buggy unconvincing,1,negative
buggy unnecessary,1,negative
buggy unpredictable,1,negative
buggy unrealistic,1,negative
buggy utterly,1,negative
buggy virus,1,negative
buggy wasted,1,negative
buggy worse,1,negative
buggy wrong,1,negative
buggy yawn,1,negative
bugs absurd,1,negative
bugs ailing,1,negative
bugs anger,1,negative
bugs annoyingly,1,negative
bugs apathy,1,negative
bugs attack,1,negative
bugs blow,1,negative
bugs blurry,1,negative
bugs bored,1,negative
bugs bother,1,negative
bugs brutal,1,negative
bugs cancerous,1,negative
bugs careless,1,negative
bugs chaos,1,negative
bugs chaotic,1,negative
bugs cheesy,1,negative
bugs choke,1,negative
bugs cursed,1,negative
bugs damage,1,negative
bugs damned,1,negative
bugs dark,1,negative
bugs deceitful,1,negative
bugs deficiencies,1,negative
bugs detracted,1,negative
bugs detracting,1,negative
bugs devastating,1,negative
bugs devoid,1,negative
bugs ding,1,negative
bugs disappointment,1,negative
bugs disgustingly,1,negative
bugs disliked,1,negative
bugs distracting,1,negative
bugs disturb,1,negative
bugs downsides,1,negative
bugs drag,1,negative
bugs drain,1,negative
bugs dreary,1,negative
bugs dungeon,1,negative
bugs dying,1,negative
bugs expensive,1,negative
bugs failed,1,negative
bugs false,1,negative
bugs fell,1,negative
bugs finicky,1,negative
bugs freaking,1,negative
bugs freaks,1,negative
bugs fret,1,negative
bugs froze,1,negative
bugs frozen,1,negative
bugs frustrations,1,negative
bugs garbage,1,negative
bugs gasp,1,negative
bugs greedy,1,negative
bugs grind,1,negative
bugs hangs,1,negative
bugs hate,1,negative
bugs haunting,1,negative
bugs heck,1,negative
bugs horrific,1,negative
bugs hurt,1,negative
bugs idiot,1,negative
bugs idiotic,1,negative
bugs illogical,1,negative
bugs imbalance,1,negative
bugs imprecise,1,negative
bugs inability,1,negative
bugs incomprehensible,1,negative
bugs insanely,1,negative
bugs insulting,1,negative
bugs insultingly,1,negative
bugs interrupt,1,negative
bugs invalidate,1,negative
bugs ironic,1,negative
bugs junk,1,negative
bugs killer,1,negative
bugs killing,1,negative
bugs lackluster,1,negative
bugs latency,1,negative
bugs laughable,1,negative
bugs leech,1,negative
bugs lousy,1,negative
bugs massacre,1,negative
bugs meaningless,1,negative
bugs messy,1,negative
bugs muddy,1,negative
bugs murder,1,negative
bugs needless,1,negative
bugs negative,1,negative
bugs negatives,1,negative
bugs nightmare,1,negative
bugs nonsense,1,negative
bugs obliterated,1,negative
bugs obtuse,1,negative
bugs oddities,1,negative
bugs opponent,1,negative
bugs overweight,1,negative
bugs painfully,1,negative
bugs penalty,1,negative
bugs pretentious,1,negative
bugs primitive,1,negative
bugs regret,1,negative
bugs ridiculous,1,negative
bugs ridiculously,1,negative
bugs scam,1,negative
bugs scummy,1,negative
bugs senseless,1,negative
bugs shady,1,negative
bugs shameful,1,negative
bugs shockingly,1,negative
bugs siege,1,negative
bugs simplistic,1,negative
bugs sinking,1,negative
bugs sloppy,1,negative
bugs slowly,1,negative
bugs sluggish,1,negative
bugs spoiled,1,negative
bugs spoils,1,negative
bugs steal,1,negative
bugs stiff,1,negative
bugs struggle,1,negative
bugs stupidity,1,negative
bugs suffers,1,negative
bugs tanks,1,negative
bugs thoughtless,1,negative
bugs tired,1,negative
bugs toxic,1,negative
bugs tyranny,1,negative
bugs unacceptable,1,negative
bugs unbearable,1,negative
bugs unbelievable,1,negative
bugs uncreative,1,negative
bugs undocumented,1,negative
bugs unfairly,1,negative
bugs unforgiving,1,negative
bugs unhelpful,1,negative
bugs unnecessary,1,negative
bugs unrealistic,1,negative
bugs unresolved,1,negative
bugs unusable,1,negative
bugs utterly,1,negative
bugs warning,1,negative
bugs warp,1,negative
bulkier enemies,1,negative
bulkier slower,1,negative
bulky bomb,1,negative
bulky enemy,1,negative
bulky hard,1,negative
bulky invisible,1,negative
bulky lacking,1,negative
bulky loud,1,negative
bulky slog,1,negative
bulky tank,1,negative
bulky zombie,1,negative
bullies fib,1,negative
bullies lag,1,negative
bullies trapped,1,negative
bully critics,1,negative
bully fails,1,negative
bully mock,1,negative
bully stealing,1,negative
bully threatening,1,negative
bully weaker,1,negative
bullying boredom,1,negative
bullying criticism,1,negative
bullying harassment,1,negative
bullying lying,1,negative
bum broken,1,negative
bum hurts,1,negative
bum jam,1,negative
bum pig,1,negative
bum sore,1,negative
bum yawn,1,negative
bump damage,1,negative
bump grind,1,negative
bump lack,1,negative
bump lose,1,negative
bump stress,1,negative
bumping enemies,1,negative
bumping ugly,1,negative
bumps ruts,1,negative
bumps ugh,1,negative
bumpy dungeon,1,negative
bumpy impossible,1,negative
bumpy invisible,1,negative
bungling idiot,1,negative
bunk cons,1,negative
bunk shit,1,negative
bunk smells,1,negative
burden bore,1,negative
burden distracting,1,negative
burden hell,1,negative
burden obliterated,1,negative
burden recklessly,1,negative
burden sadly,1,negative
burdensome simplistic,1,negative
burn awkward,1,negative
burn burn,1,negative
burn chaos,1,negative
burn dumb,1,negative
burn enemies,1,negative
burn explode,1,negative
burn hurts,1,negative
burn murder,1,negative
burn poison,1,negative
burn rip,1,negative
burn steal,1,negative
burn tension,1,negative
burn trash,1,negative
burn waste,1,negative
burned badly,1,negative
burned dead,1,negative
burned hard,1,negative
burned scarred,1,negative
burning apathy,1,negative
burning broken,1,negative
burning bugs,1,negative
burning death,1,negative
burning disappointment,1,negative
burning evil,1,negative
burning frustration,1,negative
burning garbage,1,negative
burning hostility,1,negative
burning ignore,1,negative
burning issue,1,negative
burning joker,1,negative
burning mess,1,negative
burning monster,1,negative
burning noises,1,negative
burning pig,1,negative
burning resentment,1,negative
burning shocking,1,negative
burning sore,1,negative
burning stinging,1,negative
burning tank,1,negative
burning ugly,1,negative
burning unknown,1,negative
bust loose,1,negative
butcher enemies,1,negative
butcher killed,1,negative
buzzing flickering,1,negative
buzzing mess,1,negative
buzzing noises,1,negative
byzantine bug,1,negative
byzantine mess,1,negative
byzantine ruins,1,negative
callous puppets,1,negative
callous weird,1,negative
calm bewilderment,1,negative
calm biting,1,negative
calm creepy,1,negative
calm criticism,1,negative
calm unsuspecting,1,negative
calming break,1,negative
calming mindless,1,negative
calming mystery,1,negative
calming slow,1,negative
cancer attack,1,negative
cancer awful,1,negative
cancer beware,1,negative
cancer boring,1,negative
cancer broke,1,negative
cancer bugs,1,negative
cancer cheating,1,negative
cancer crap,1,negative
cancer crashed,1,negative
cancer crashes,1,negative
cancer dark,1,negative
cancer dead,1,negative
cancer death,1,negative
cancer depression,1,negative
cancer die,1,negative
cancer died,1,negative
cancer epidemic,1,negative
cancer garbage,1,negative
cancer horrible,1,negative
cancer illness,1,negative
cancer joke,1,negative
cancer kill,1,negative
cancer lag,1,negative
cancer monster,1,negative
cancer overrated,1,negative
cancer painful,1,negative
cancer poor,1,negative
cancer poorly,1,negative
cancer punk,1,negative
cancer randomly,1,negative
cancer rip,1,negative
cancer scare,1,negative
cancer shame,1,negative
cancer stricken,1,negative
cancer strike,1,negative
cancer stupid,1,negative
cancer suicide,1,negative
cancer ugh,1,negative
cancer waste,1,negative
cancer worst,1,negative
cancerous bad,1,negative
cancerous bug,1,negative
cancerous childish,1,negative
cancerous cons,1,negative
cancerous filthy,1,negative
cancerous frustrating,1,negative
cancerous greed,1,negative
cancerous idiots,1,negative
cancerous infested,1,negative
cancerous lag,1,negative
cancerous loud,1,negative
cancerous malaise,1,negative
cancerous poorly,1,negative
cancerous rip,1,negative
cancerous sack,1,negative
cancerous static,1,negative
cancerous useless,1,negative
cannibal fallout,1,negative
capability bad,1,negative
capability issues,1,negative
capability knock,1,negative
capability refused,1,negative
capable pretend,1,negative
capitulate concede,1,negative
capricious grind,1,negative
capricious lonely,1,negative
captivating dark,1,negative
captivating mystery,1,negative
captivating sadly,1,negative
carefree stubborn,1,negative
careless broken,1,negative
careless bug,1,negative
careless cheap,1,negative
careless death,1,negative
careless lack,1,negative
careless maniac,1,negative
careless mistakes,1,negative
careless selfish,1,negative
careless shameless,1,negative
carelessness carelessness,1,negative
carelessness overkill,1,negative
carnage conflicts,1,negative
carnage sadly,1,negative
carnage slowly,1,negative
carnage trouble,1,negative
carp enemies,1,negative
cartoonish abomination,1,negative
cartoonish annoyance,1,negative
cartoonish buggy,1,negative
cartoonish crap,1,negative
cartoonish death,1,negative
cartoonish evil,1,negative
cartoonish gangster,1,negative
cartoonish grotesque,1,negative
cartoonish horde,1,negative
cartoonish lame,1,negative
cartoonish loses,1,negative
cartoonish myth,1,negative
cartoonish nonsense,1,negative
cartoonish plot,1,negative
cartoonish poor,1,negative
cartoonish puppet,1,negative
cartoonish rigid,1,negative
cartoonish rough,1,negative
cartoonish ugly,1,negative
cartoonish villian,1,negative
cartoonish zombie,1,negative
cashback tank,1,negative
cataclysm difficulty,1,negative
cataclysmic bad,1,negative
cataclysmic killing,1,negative
cataclysmic threat,1,negative
catastrophe breaks,1,negative
catastrophe dungeons,1,negative
catastrophe hell,1,negative
catastrophe struck,1,negative
catastrophes mar,1,negative
catastrophic bad,1,negative
catastrophic blunder,1,negative
catastrophic collapse,1,negative
catastrophic crisis,1,negative
catastrophic dark,1,negative
catastrophic death,1,negative
catastrophic disappointment,1,negative
catastrophic failures,1,negative
catastrophic faults,1,negative
catastrophic grind,1,negative
catastrophic insulting,1,negative
catastrophic laggy,1,negative
catastrophic losses,1,negative
catastrophic oversight,1,negative
catastrophic ruining,1,negative
catastrophic sneak,1,negative
catastrophic unpleasant,1,negative
catastrophic worse,1,negative
catastrophically bad,1,negative
catastrophically bug,1,negative
catastrophically crash,1,negative
catastrophically idiotic,1,negative
catastrophically poor,1,negative
catastrophically ruin,1,negative
catastrophically stupid,1,negative
catastrophically terrible,1,negative
catchy cons,1,negative
catchy gimmicks,1,negative
catchy misleading,1,negative
catchy plot,1,negative
caustic waste,1,negative
cave bug,1,negative
cave collapse,1,negative
cave cons,1,negative
cave crash,1,negative
cave died,1,negative
cave disappointed,1,negative
cave fails,1,negative
cave fallout,1,negative
cave horrible,1,negative
cave infested,1,negative
cave invisible,1,negative
cave killed,1,negative
cave loot,1,negative
cave loser,1,negative
cave sadly,1,negative
celebrate needless,1,negative
celebrate overkill,1,negative
celebrate vague,1,negative
celebrated crap,1,negative
celebration waste,1,negative
chaff flares,1,negative
chagrin crashes,1,negative
challenging addicting,1,negative
challenging blatantly,1,negative
challenging break,1,negative
challenging bug,1,negative
challenging burning,1,negative
challenging clumsy,1,negative
challenging complex,1,negative
challenging creepy,1,negative
challenging dull,1,negative
challenging fail,1,negative
challenging frantic,1,negative
challenging funny,1,negative
challenging grind,1,negative
challenging hardship,1,negative
challenging hate,1,negative
challenging heck,1,negative
challenging hell,1,negative
challenging hogs,1,negative
challenging horde,1,negative
challenging horrible,1,negative
challenging infuriating,1,negative
challenging issues,1,negative
challenging killing,1,negative
challenging limited,1,negative
challenging opponent,1,negative
challenging opposition,1,negative
challenging plot,1,negative
challenging pointless,1,negative
challenging poor,1,negative
challenging poorly,1,negative
challenging rage,1,negative
challenging ridiculous,1,negative
